2019-07-01T15:57:44.246917{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3569, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:58:44.251586{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3538, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:59:44.254475{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3662, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:00:44.258415{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3630, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:01:44.242914{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3646, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:02:44.231314{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3693, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:03:44.244077{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3700, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:05:43.929045{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3610, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:06:44.241092{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3630, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:07:44.240032{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3623, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:08:44.248175{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3602, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:09:44.251183{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3629, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:11:43.770052{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3668, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:12:44.102485{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3767, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:14:43.827747{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3827, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:16:43.518823{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3833, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:17:43.485396{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3873, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:19:42.991945{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3844, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:20:43.461249{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3882, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:22:43.343214{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3867, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:23:44.004041{'id': '34744467152', 'user_id': '59308271', 'user_name': 'TFBlade', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'NEW EMOTES SOON', 'viewer_count': 3871, 'started_at': datetime.datetime(2019, 7, 1, 21, 31, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_tfblade-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
