2019-07-01T15:55:43.912648{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3701, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T15:56:44.229246{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3700, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T15:57:44.240301{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3665, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T15:58:44.209263{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3676, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T15:59:44.227811{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3668, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T16:00:44.218009{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3668, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T16:01:44.249191{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3654, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T16:02:44.210168{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3639, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T16:03:44.242905{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3613, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
2019-07-01T16:04:44.203708{'id': '34743187888', 'user_id': '16146075', 'user_name': 'Grimnax', 'game_id': '32982', 'community_ids': ['fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'tek kişilik dev Gang | voRP | !yemeksepeti !prime !funny !güncelleme | insta: grimnax', 'viewer_count': 3692, 'started_at': datetime.datetime(2019, 7, 1, 19, 38, 4), 'language': 'tr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_grimnax-{width}x{height}.jpg', 'tag_ids': ['f08d5873-f0c7-4912-94ba-a41933b4c141']}
