2019-07-01T15:55:43.889791{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4330, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:56:44.187317{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4330, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:57:44.223800{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4451, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:58:44.202018{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4489, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:59:44.200429{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4529, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:00:44.204696{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4557, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:01:44.239445{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4612, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:06:44.649939{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4433, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:07:44.197199{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4200, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:08:44.248171{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 4084, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:09:44.194225{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 3917, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:10:44.028818{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 3917, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:12:44.023072{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 3917, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:13:44.199753{'id': '34743486944', 'user_id': '11001241', 'user_name': 'KYR_SP33DY', 'game_id': '27471', 'community_ids': [], 'type': 'live', 'title': '#MinecraftMonday Hunger Games starts at 1PM PDT/4pm EDT', 'viewer_count': 3917, 'started_at': datetime.datetime(2019, 7, 1, 20, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kyr_sp33dy-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
