2019-07-01T16:07:44.231727{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4590, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:08:44.233086{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4621, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:09:44.261567{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4660, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:10:44.062876{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4709, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:12:44.022734{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4857, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:13:44.300748{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4867, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:15:43.599673{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 4986, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:16:43.453871{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 5038, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:17:43.480568{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 5065, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:19:43.016809{'id': '34743052320', 'user_id': '40754777', 'user_name': 'masondota2', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': ' RANK 1', 'viewer_count': 5163, 'started_at': datetime.datetime(2019, 7, 1, 19, 26, 44), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_masondota2-{width}x{height}.jpg', 'tag_ids': ['3dc8f084-d886-4264-b20f-8bd5f90562b5', '60b8f13e-7022-481a-afff-07de3db129cc', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
