2019-07-01T16:20:43.164949{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2303, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:22:43.202416{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2247, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:32:44.988835{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 3006, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:33:44.311233{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2500, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:35:43.641864{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2318, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:36:43.888102{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2161, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:38:43.854702{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2196, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:40:43.921165{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2567, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:41:44.381509{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2955, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:42:44.312117{'id': '34742791472', 'user_id': '53571235', 'user_name': 'MrRemxTV', 'game_id': '32982', 'community_ids': ['302fa16e-9999-4259-86ec-ba5817725a9a', 'a2095c74-abc0-41cf-af39-1ca3c5ee88e1'], 'type': 'live', 'title': 'Flashland: Jason recherche TheSilentRipper', 'viewer_count': 2898, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 14), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mrremxtv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
