2019-07-01T15:55:43.887803{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3805, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:56:44.191934{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3783, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:57:44.240525{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3628, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:58:44.180434{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3612, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T15:59:44.199543{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3615, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:00:44.188940{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3591, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:01:44.239434{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3611, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:02:44.190085{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3420, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:03:44.214035{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3477, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:04:44.168450{'id': '34741325712', 'user_id': '82197170', 'user_name': 'EWROON', 'game_id': '32982', 'community_ids': ['5181e78f-2280-42a6-873d-758e25a7c313'], 'type': 'live', 'title': '<EWRON> UDAWANE ŻYCIE! -> KOD EWRON W SKLEPIE FORTNITE! <- !ig !fb', 'viewer_count': 3499, 'started_at': datetime.datetime(2019, 7, 1, 17, 1, 42), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_ewroon-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
