2019-07-01T16:46:44.253468{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2244, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:48:43.655281{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2152, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:49:44.870087{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2131, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:50:44.230947{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2105, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:51:44.244287{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2107, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:52:44.253573{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2074, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:54:43.660327{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2022, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:55:43.803288{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 2013, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:56:44.230657{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1978, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:57:44.364946{'id': '34744052320', 'user_id': '230768385', 'user_name': 'follentass', 'game_id': '509658', 'community_ids': [], 'type': 'live', 'title': 'Обзор фильма: Женщина в черном. начали в 2.30', 'viewer_count': 1990, 'started_at': datetime.datetime(2019, 7, 1, 20, 53, 5), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_follentass-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
