2019-07-01T16:07:43.944071{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1735, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:09:43.955439{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1729, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:11:43.772554{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1691, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:12:44.246338{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1675, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:14:43.917641{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1687, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:16:42.654911{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1687, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:18:43.143030{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1738, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:22:43.450371{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1829, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:29:44.251694{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1889, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:30:44.334657{'id': '34741142608', 'user_id': '36717908', 'user_name': 'IzakOOO', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Dobry tytuł w fortnite aby ludzie chcieli to oglądać', 'viewer_count': 1870, 'started_at': datetime.datetime(2019, 7, 1, 16, 44, 43), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_izakooo-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
