2019-07-01T15:55:43.945717{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2958, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:56:44.270507{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 3018, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:58:43.920969{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2861, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:00:43.895021{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 3140, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:01:44.261769{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 3135, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:02:44.243958{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2947, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:03:44.248338{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2977, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:04:44.254652{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2612, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:06:43.885499{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2592, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:07:44.263557{'id': '34744066928', 'user_id': '129112562', 'user_name': 'AlexRamiGaming', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'Custom Games with Viewers!', 'viewer_count': 2700, 'started_at': datetime.datetime(2019, 7, 1, 20, 54, 26), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alexramigaming-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'ac763b17-7bea-4632-9eb4-d106689ff409', '8486f56b-8677-44f7-8004-000295391524']}
