2019-07-01T15:59:44.254178{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 4770, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:00:44.237256{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 4855, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:01:44.254246{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 4931, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:02:44.237786{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 4933, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:03:44.243924{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 5046, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:04:44.225668{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 5038, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:06:43.864434{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 5080, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:07:44.231731{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 5156, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:08:44.248176{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 5161, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:09:44.249741{'id': '34742796240', 'user_id': '155601320', 'user_name': 'JLTomy', 'game_id': '32982', 'community_ids': ['4481e651-74ba-47f4-8374-9f94ec793d2a', '9133c470-6db4-4e16-a5d0-690e8a005bea'], 'type': 'live', 'title': 'JL TOMA - Yanis Abdouben de retour sur FlashLand ! (twitter : @PrismTomy) !video !rt !hrp', 'viewer_count': 5167, 'started_at': datetime.datetime(2019, 7, 1, 19, 5, 36), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
