2019-07-01T16:05:43.928258{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2146, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:07:43.932162{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2158, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:09:43.931819{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2236, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'c38aeb6e-e8c7-452a-88e1-a3ed62c2e846']}
2019-07-01T16:11:43.765686{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2204, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:15:44.683566{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2288, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:18:43.204333{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2140, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:20:43.158618{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2085, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:21:42.888552{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2053, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'c38aeb6e-e8c7-452a-88e1-a3ed62c2e846']}
2019-07-01T16:23:43.489289{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2077, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:24:43.719105{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2064, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:25:44.329188{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2137, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:26:44.743788{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2281, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:27:44.331392{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2281, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:28:44.535040{'id': '34744153376', 'user_id': '98125665', 'user_name': 'jschlatt', 'game_id': '27471', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'd27a50de-89d9-4a9e-a715-41a28a54b605'], 'type': 'live', 'title': 'Winning Another $10,000 in Minecraft Monday', 'viewer_count': 2281, 'started_at': datetime.datetime(2019, 7, 1, 21, 2, 6), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg', 'tag_ids': ['c38aeb6e-e8c7-452a-88e1-a3ed62c2e846', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
