2019-07-01T17:05:44.333399{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 3012, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:06:44.034935{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2766, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:07:44.169056{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2761, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:18:44.708367{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 3072, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:19:44.327530{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 3061, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:20:44.066512{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 3176, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:22:43.649613{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2828, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:22:44.160172{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2828, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:23:44.334237{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2850, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:24:44.324686{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2869, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:25:44.207904{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2911, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:26:44.156175{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2944, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:27:44.084578{'id': '34742723040', 'user_id': '32171655', 'user_name': 'ziGueira', 'game_id': '460630', 'community_ids': [], 'type': 'live', 'title': 'React Atlantic City !amazon !sub !sorteio !donate ', 'viewer_count': 2977, 'started_at': datetime.datetime(2019, 7, 1, 19, 0, 15), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zigueira-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
