2019-07-01T16:25:43.937799{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2228, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:26:44.601483{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2208, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:27:44.323095{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2197, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:29:44.817533{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2207, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'd0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c']}
2019-07-01T16:30:44.313361{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2156, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:31:44.478374{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2169, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:32:44.846665{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2196, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:33:44.320970{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2193, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:35:43.642017{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2172, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:36:43.907439{'id': '34741376000', 'user_id': '19070311', 'user_name': 'A_Seagull', 'game_id': '489335', 'community_ids': ['8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'seagull explores the outer wilds ', 'viewer_count': 2174, 'started_at': datetime.datetime(2019, 7, 1, 17, 6, 7), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_a_seagull-{width}x{height}.jpg', 'tag_ids': ['d0976a7e-26a7-4a48-9225-c522808540f2', 'd24d8407-b69f-466b-a059-b43ddacd3e7c', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
