2019-07-01T16:27:44.212305{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 4037, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:28:44.502764{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 4041, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:29:43.943553{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 4059, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:30:44.313449{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 4097, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:31:44.297482{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '512693', 'community_ids': [], 'type': 'live', 'title': '[Big Boss] Savjz fun builds', 'viewer_count': 4000, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:32:44.866651{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '2748', 'community_ids': [], 'type': 'live', 'title': 'M20 Hype! #sponsored', 'viewer_count': 3849, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:33:44.285233{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '2748', 'community_ids': [], 'type': 'live', 'title': 'M20 Hype! #sponsored', 'viewer_count': 3252, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:34:44.044708{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '2748', 'community_ids': [], 'type': 'live', 'title': 'M20 Hype! #sponsored', 'viewer_count': 3047, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:35:44.069513{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '2748', 'community_ids': [], 'type': 'live', 'title': 'M20 Hype! #sponsored', 'viewer_count': 2941, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:36:44.231142{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '2748', 'community_ids': [], 'type': 'live', 'title': 'M20 Hype! #sponsored', 'viewer_count': 2772, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:37:44.207721{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '2748', 'community_ids': [], 'type': 'live', 'title': 'M20 Hype! #sponsored', 'viewer_count': 2665, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:38:44.208357{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '2748', 'community_ids': [], 'type': 'live', 'title': 'M20 Hype! #sponsored', 'viewer_count': 2640, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:39:44.217699{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '2748', 'community_ids': [], 'type': 'live', 'title': 'M20 Hype! #sponsored', 'viewer_count': 2559, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:40:44.205170{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '2748', 'community_ids': [], 'type': 'live', 'title': 'M20 Hype! #sponsored', 'viewer_count': 2529, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:41:44.235817{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '2748', 'community_ids': [], 'type': 'live', 'title': 'M20 Hype! #sponsored', 'viewer_count': 2449, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:42:44.210166{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '2748', 'community_ids': [], 'type': 'live', 'title': 'M20 Hype! #sponsored', 'viewer_count': 2366, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:43:44.999679{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '2748', 'community_ids': [], 'type': 'live', 'title': 'M20 Hype! #sponsored', 'viewer_count': 2347, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:44:44.219313{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '2748', 'community_ids': [], 'type': 'live', 'title': 'M20 Hype! #sponsored', 'viewer_count': 2308, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:45:44.215754{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '2748', 'community_ids': [], 'type': 'live', 'title': 'M20 Hype! #sponsored', 'viewer_count': 2289, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:46:44.213444{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '2748', 'community_ids': [], 'type': 'live', 'title': 'M20 Hype! #sponsored', 'viewer_count': 2275, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:47:44.050614{'id': '34741951744', 'user_id': '43131877', 'user_name': 'Savjz', 'game_id': '2748', 'community_ids': [], 'type': 'live', 'title': 'M20 Hype! #sponsored', 'viewer_count': 2229, 'started_at': datetime.datetime(2019, 7, 1, 17, 57, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_savjz-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
