2019-07-01T16:38:43.871849{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2491, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:40:43.921053{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2500, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:41:44.346933{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2496, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:42:44.330364{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2521, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:43:45.037171{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2489, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:44:44.335622{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2505, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:46:43.952203{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2475, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:48:43.694323{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2433, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:50:45.983652{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2443, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
2019-07-01T16:52:43.871356{'id': '34741049296', 'user_id': '29468517', 'user_name': 'PAGO3', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': 'PIĘKNY I BOSKI DON GRANDE KNUTOWSKI // ATLANTIS.RP', 'viewer_count': 2470, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 27), 'language': 'pl', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_pago3-{width}x{height}.jpg', 'tag_ids': ['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b']}
