2019-07-01T16:14:43.835478{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3160, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:16:43.526870{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3021, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:17:43.532770{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3148, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:19:43.060550{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3902, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:21:43.067473{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3334, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:23:43.489238{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3324, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:24:43.654740{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3251, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:25:44.092507{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3340, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:26:44.439762{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3343, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:27:44.286558{'id': '34744786544', 'user_id': '101400190', 'user_name': '72hrs', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'just chillin up here', 'viewer_count': 3562, 'started_at': datetime.datetime(2019, 7, 1, 22, 2, 53), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_72hrs-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
