2019-07-01T16:46:43.885648{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2320, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:47:43.743035{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2343, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:48:43.729855{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2388, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:49:44.876579{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2380, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:51:43.911245{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2363, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:53:43.774659{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2358, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:54:43.773978{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2410, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:58:43.569675{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2538, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:01:44.257230{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2299, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:04:44.430044{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2331, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:05:44.356971{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2288, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:06:44.061285{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2262, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:08:43.981318{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2190, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:09:44.349112{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2186, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:10:44.332979{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2149, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:11:44.386138{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2105, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:12:44.486219{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2058, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:13:44.404392{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2024, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:14:44.202256{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2043, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:15:44.070851{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2035, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:16:44.039348{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2016, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:25:44.853159{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2051, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:26:44.185575{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2087, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T17:27:44.103622{'id': '34744621120', 'user_id': '170547313', 'user_name': 'AdzTV', 'game_id': '33214', 'community_ids': [], 'type': 'live', 'title': 'LIVE 24 H ! LE RETOUR DU STREAMEUR BELGE !', 'viewer_count': 2126, 'started_at': datetime.datetime(2019, 7, 1, 21, 46, 45), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_adztv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
