2019-07-01T16:06:44.217013{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3854, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:07:44.227745{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3852, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:08:44.233368{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3861, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:09:44.228727{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3871, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:10:44.068990{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3855, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:12:44.025522{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3880, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:13:44.300655{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3867, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:15:43.536487{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3898, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:16:43.502351{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3871, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:17:43.449647{'id': '34743314272', 'user_id': '23528098', 'user_name': 'AvoidingThePuddle', 'game_id': '509482', 'community_ids': [], 'type': 'live', 'title': 'Judge Eyes - Buy a shirt will ya? teespring.com/stores/ATP', 'viewer_count': 3874, 'started_at': datetime.datetime(2019, 7, 1, 19, 48, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_avoidingthepuddle-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
