2019-07-01T16:51:43.885193{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2215, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:52:43.892517{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2215, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:54:43.747002{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2210, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:56:44.436480{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 2262, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:03:44.941938{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 1889, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:06:44.257284{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 1755, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:08:44.072679{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 1684, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:09:44.323983{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 1628, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:10:44.327717{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 1620, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T17:11:44.325432{'id': '34741050608', 'user_id': '70302631', 'user_name': 'CurtisRyan_', 'game_id': '32982', 'community_ids': ['191bf229-349f-43d1-9337-8a693aa2406d', 'f25d8d03-c3f5-449c-bac5-6a502b347123', 'fd0eab99-832a-4d7e-8cc0-04d73deb2e54'], 'type': 'live', 'title': 'Curtis || NoPixel || !ontherun !milo', 'viewer_count': 1599, 'started_at': datetime.datetime(2019, 7, 1, 16, 35, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_curtisryan_-{width}x{height}.jpg', 'tag_ids': ['0cb7e377-a308-44e8-91f7-07eea1d96129', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
