2019-07-01T16:17:42.919085{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2062, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:18:42.573615{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2071, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:20:43.159655{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2104, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:22:43.233035{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 2047, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:23:43.956471{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1883, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:25:43.951978{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1822, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:32:44.866554{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1892, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:33:44.395535{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1892, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:35:43.655677{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1924, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:36:43.907718{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1925, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:38:44.030459{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1971, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:40:43.938606{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1956, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:41:44.372940{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1961, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:42:44.336047{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1960, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:48:45.768054{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1968, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:49:44.887828{'id': '34740899872', 'user_id': '83195409', 'user_name': 'canceldota', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'poSitive vibes', 'viewer_count': 1986, 'started_at': datetime.datetime(2019, 7, 1, 16, 20, 21), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_canceldota-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
