2019-07-01T16:27:44.287841{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2840, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:28:44.307706{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2599, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:29:44.158179{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2579, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:30:44.316207{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2574, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:31:44.325119{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2544, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:32:44.853672{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2526, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:33:44.300865{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2534, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:34:44.127384{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2515, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:35:44.128832{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2542, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
2019-07-01T16:37:43.920834{'id': '34744485968', 'user_id': '65757403', 'user_name': 'kutcherlol', 'game_id': '21779', 'community_ids': ['f8396cf3-6878-4246-a88b-2a2f8f170d2b'], 'type': 'live', 'title': 'latenight chill stream', 'viewer_count': 2545, 'started_at': datetime.datetime(2019, 7, 1, 21, 33, 37), 'language': 'de', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kutcherlol-{width}x{height}.jpg', 'tag_ids': ['9166ad14-41f1-4b04-a3b8-c8eb838c6be6']}
