2019-07-01T16:36:43.907606{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1026, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:38:43.881240{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 993, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:39:43.897726{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1013, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:40:43.937639{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1013, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:41:44.375702{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1044, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:43:45.026362{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1045, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:45:43.911809{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1049, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:47:43.752808{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1061, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:48:43.733374{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1059, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:49:44.862677{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1088, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:51:43.911182{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1092, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:53:43.766173{'id': '34741903120', 'user_id': '25871845', 'user_name': 'bmkibler', 'game_id': '2748', 'community_ids': ['232c2bff-a125-4582-993a-c00679b5e645'], 'type': 'live', 'title': 'Kibler - M20 Early Access! #sponsored', 'viewer_count': 1101, 'started_at': datetime.datetime(2019, 7, 1, 17, 54, 8), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_bmkibler-{width}x{height}.jpg', 'tag_ids': ['1eba3cfe-51cc-460a-8259-bc8bb987f904', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '3bbf3e11-717e-46af-aec3-37e4f9216db4', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
