2019-07-01T16:50:44.272439{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2510, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:52:43.871103{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2543, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:54:43.724746{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2504, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:55:43.821356{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2542, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:56:44.292613{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2539, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:57:44.390174{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2556, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:58:44.281924{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2570, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:59:43.947077{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2593, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:00:44.367043{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2574, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:01:44.000753{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2583, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T17:02:44.277313{'id': '34740984224', 'user_id': '181077473', 'user_name': 'gaules', 'game_id': '32399', 'community_ids': [], 'type': 'live', 'title': 'ESQUENTA ESL One Cologne 2019 - Portões abertos 05:00AM !Amazon !Sorteio 3 facas  - MIBR e FURIA em CAMPO - Apostas em todas partidas', 'viewer_count': 2542, 'started_at': datetime.datetime(2019, 7, 1, 16, 29, 5), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gaules-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
