2019-07-01T16:38:43.837277{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2330, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:39:43.883858{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2268, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:43:45.040298{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2346, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:44:44.326161{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2345, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:46:44.174200{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2354, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:48:43.679466{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2358, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:49:44.841598{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2301, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:50:44.325209{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2305, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:52:43.877434{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2292, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:54:43.686301{'id': '34741154032', 'user_id': '70298660', 'user_name': 'Skyyart', 'game_id': '21779', 'community_ids': [], 'type': 'live', 'title': 'SKYYART On Détruit La Lane Ranked LoL LetS Gooo !!', 'viewer_count': 2306, 'started_at': datetime.datetime(2019, 7, 1, 16, 45, 49), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_skyyart-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
