2019-07-01T16:25:44.218022{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2414, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:26:44.399344{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2426, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:27:44.300285{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2456, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:35:43.790161{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2628, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:36:43.910165{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2642, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:38:43.862449{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2566, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:40:43.949860{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2587, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:41:44.373014{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2569, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:42:44.349649{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2565, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:43:45.014952{'id': '34742710528', 'user_id': '24666044', 'user_name': 'cdewx', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'Cdew <Method> WE BACK !guild', 'viewer_count': 2596, 'started_at': datetime.datetime(2019, 7, 1, 18, 59, 20), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_cdewx-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
