2019-07-01T15:55:44.000960{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2849, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:56:44.290847{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2845, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:58:43.882432{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2871, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T15:59:44.283547{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2877, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:00:44.299619{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2849, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:01:44.308255{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2809, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:02:44.281126{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2770, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:04:43.959691{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2730, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:06:43.880243{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2748, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:08:43.904869{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2686, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:10:43.678624{'id': '34742045184', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '494925', 'community_ids': ['7f4e3996-78e8-46f6-bed0-586075cdd8ba'], 'type': 'live', 'title': 'UN HOMME ET UNE FEMME SUR UN RADEAU !Extension', 'viewer_count': 2642, 'started_at': datetime.datetime(2019, 7, 1, 18, 4, 34), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
