2019-07-01T16:06:44.246590{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3693, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:07:44.253147{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3708, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:08:44.248173{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3720, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:09:44.288037{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3800, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:11:43.765617{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3862, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:12:44.024026{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3785, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:13:44.226447{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3834, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:15:43.541626{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3841, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:16:43.458020{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3812, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-07-01T16:17:43.462170{'id': '34740854112', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'Narkuss hard train twitch rival TOURNOI VIEUWEUR', 'viewer_count': 3875, 'started_at': datetime.datetime(2019, 7, 1, 16, 15, 42), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
