2019-07-01T16:26:43.865097{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 4910, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:27:44.213445{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 4961, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:28:44.262134{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 4994, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:29:43.943703{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5046, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:30:44.306970{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5078, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:31:44.329021{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5078, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:32:44.870993{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5061, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:33:44.290096{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5074, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:34:44.057692{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5074, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:35:44.052926{'id': '34743818352', 'user_id': '11558942', 'user_name': 'witwix', 'game_id': '511399', 'community_ids': [], 'type': 'live', 'title': 'Supa Mario Maker 2', 'viewer_count': 5099, 'started_at': datetime.datetime(2019, 7, 1, 20, 31, 38), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_witwix-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
