2019-07-01T16:23:44.190611{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3712, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:24:44.021323{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3725, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:26:44.087694{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3823, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:27:44.190026{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3840, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:28:44.197195{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3871, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:29:44.158101{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3843, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:30:44.304595{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3856, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:31:44.297736{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3855, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:32:45.032385{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3877, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-07-01T16:33:44.311144{'id': '34742655344', 'user_id': '63667409', 'user_name': 'JustCooman', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': '123qwe', 'viewer_count': 3879, 'started_at': datetime.datetime(2019, 7, 1, 18, 55, 13), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_justcooman-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
