2019-07-01T15:58:43.883381{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2778, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:00:43.876245{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2755, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:02:43.988731{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2695, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:04:43.957780{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2648, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:06:43.867992{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2616, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:08:43.908497{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2589, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:09:44.250035{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2581, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:11:43.681927{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2541, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:13:43.790895{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2532, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:14:43.817373{'id': '34742098928', 'user_id': '24991333', 'user_name': 'imaqtpie', 'game_id': '29307', 'community_ids': [], 'type': 'live', 'title': 'spin good', 'viewer_count': 2506, 'started_at': datetime.datetime(2019, 7, 1, 18, 8, 47), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_imaqtpie-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
