2019-07-01T16:00:44.306641{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2657, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:02:43.974326{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2625, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:04:43.845447{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2564, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:06:43.880420{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2417, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:08:43.904646{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2429, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:10:43.732566{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2400, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:11:43.705651{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2399, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:12:44.101351{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2443, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:14:43.942484{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2512, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:16:42.646477{'id': '34742678288', 'user_id': '57717183', 'user_name': 'mendokusaii', 'game_id': '511224', 'community_ids': ['02fde7b7-58ae-473b-b30d-fa85a18af414', '8ea1e94f-4015-4f38-bd7e-745d8f42539a'], 'type': 'live', 'title': 'TWITCH RIVALS GOD GAMERS BACK AT IT AGAIN', 'viewer_count': 2522, 'started_at': datetime.datetime(2019, 7, 1, 18, 56, 55), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mendokusaii-{width}x{height}.jpg', 'tag_ids': ['cea7bc0c-75a5-4446-8743-6db031b71550', '6606e54c-f92d-40f6-8257-74977889ccdd', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
