2019-07-01T16:25:43.966027{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2118, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:32:44.867885{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2137, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:33:44.389094{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2113, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:35:43.642077{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2092, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:36:43.876932{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2110, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:37:43.928456{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2115, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:39:43.898353{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2140, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:43:45.039798{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2188, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:45:43.901419{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2166, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:47:43.779063{'id': '34741613632', 'user_id': '14836307', 'user_name': 'TrumpSC', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': 'PvE Master At Work!', 'viewer_count': 2157, 'started_at': datetime.datetime(2019, 7, 1, 17, 28, 2), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_trumpsc-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
