2019-07-01T16:15:43.922167{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4426, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:17:43.449350{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4448, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:19:42.993849{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4444, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:20:43.441809{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4488, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:22:43.392734{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4531, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:23:44.993182{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4534, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:24:44.035149{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4529, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:25:44.468916{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4542, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:26:44.251337{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4538, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
2019-07-01T16:27:44.524331{'id': '34744761920', 'user_id': '14371185', 'user_name': 'Northernlion', 'game_id': '495764', 'community_ids': [], 'type': 'live', 'title': 'The Northernlion Live Super Show! (Rock of Ages 2 / Golf It / Hand Simulator)', 'viewer_count': 4484, 'started_at': datetime.datetime(2019, 7, 1, 22, 0, 35), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_northernlion-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}
