2019-07-01T16:00:44.204603{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3998, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:01:44.244172{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3996, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:02:44.198964{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3979, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:03:44.229166{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3902, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:04:44.175943{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3955, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:05:44.197143{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3970, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:06:44.216315{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 4006, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:07:44.254141{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 4001, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:08:44.233124{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 4045, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
2019-07-01T16:09:44.218903{'id': '34743894176', 'user_id': '193054811', 'user_name': 'MarcaoRX', 'game_id': '32982', 'community_ids': [], 'type': 'live', 'title': '18+ [UP-RP] MARCÃO DEUS? FÉ  --> !ofertas  !sociais', 'viewer_count': 3964, 'started_at': datetime.datetime(2019, 7, 1, 20, 38, 23), 'language': 'pt', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_marcaorx-{width}x{height}.jpg', 'tag_ids': ['39ee8140-901a-4762-bfca-8260dea1310f']}
