2019-07-01T15:55:43.931937{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3196, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:56:44.243099{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3110, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:58:43.901690{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3025, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T15:59:44.254178{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3036, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:00:44.243668{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3053, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:01:44.265588{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3045, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:02:44.241320{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3057, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:03:44.246932{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3073, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:04:44.218119{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3104, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-01T16:05:44.231695{'id': '34742536080', 'user_id': '20992865', 'user_name': 'FollowGrubby', 'game_id': '12924', 'community_ids': ['848d95be-90b3-44a5-b143-6e373754c382', 'eb998ad4-8f95-4664-8ad4-08ca956a2e32', 'ff1e77af-551d-4993-945c-f8ceaa2a2829'], 'type': 'live', 'title': 'Mundead Monday - playing BEST race - !prime !buildorders !discord', 'viewer_count': 3113, 'started_at': datetime.datetime(2019, 7, 1, 18, 45, 12), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_followgrubby-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
