2019-05-31T10:18:16.794538{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 3932, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:19:16.873301{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 3910, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:20:16.707811{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 3915, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:21:16.503491{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 3831, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:22:16.532966{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 3705, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:23:16.854445{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 3713, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:24:16.816163{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 3715, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:25:16.818847{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 3702, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:26:16.795328{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 3719, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
2019-05-31T10:27:16.818173{'id': '34333916320', 'user_id': '416031592', 'user_name': 'SolaryHS', 'game_id': '138585', 'community_ids': [], 'type': 'live', 'title': '[FR] GRANDMASTERS EU : Pavel VS Rdu', 'viewer_count': 3728, 'started_at': datetime.datetime(2019, 5, 30, 13, 18, 13), 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}
