2019-07-02T12:10:06.250997{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 20233, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:11:06.345142{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 20213, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:12:06.311826{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 20232, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:13:06.351785{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 20361, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:14:06.282169{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 20281, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:15:06.261198{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 20281, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:16:06.556210{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 20261, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:17:06.105838{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 20346, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:18:06.361092{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 20615, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:19:05.987955{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 21024, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:20:06.252030{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 21433, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:21:06.253822{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 21621, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:22:06.318166{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 21748, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:23:06.089501{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 22055, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:24:06.331347{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 22311, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:25:06.176523{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 22422, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:26:06.248613{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 22617, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:27:06.428914{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 22856, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:28:06.595693{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 23108, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:29:06.255699{'id': '34753762352', 'user_id': '26261471', 'user_name': 'Asmongold', 'game_id': '18122', 'community_ids': [], 'type': 'live', 'title': 'MASSIVE ANNOUNCEMENT--CLASSIC WOW DUELING TOURNAMENT TOMORROW AT 1 PM CST--TRANSMOG COMP--GETTING FLYING--MOUNT OFF', 'viewer_count': 23103, 'started_at': datetime.datetime(2019, 7, 2, 17, 17), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_asmongold-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
