2019-07-02T12:08:06.318801{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15811, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:09:06.249875{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15345, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:10:06.290052{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15121, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:11:06.333663{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15264, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:12:06.316477{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15427, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:13:06.257199{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15680, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:14:06.254548{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15428, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:15:06.249005{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15543, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:16:06.311591{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15703, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:17:06.105246{'id': '34754962304', 'user_id': '36769016', 'user_name': 'TimTheTatman', 'game_id': '511224', 'community_ids': ['2caef3bd-b3db-4eed-a748-f3ee124b33aa'], 'type': 'live', 'title': 'season 2 Pog - Follow Twitter @timthetatman and Instagram @im_timthetatman for updates with stream ', 'viewer_count': 15765, 'started_at': datetime.datetime(2019, 7, 2, 18, 50, 32), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_timthetatman-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
