2019-07-02T12:10:06.259967{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 10707, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:11:06.333425{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 10659, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:12:06.306268{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 10667, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:13:06.253460{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 10726, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:14:06.271916{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 10698, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:15:06.270993{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 10714, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:16:06.324983{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 10778, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:17:06.105843{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 10874, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:18:06.387635{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 10957, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:19:05.992774{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 10961, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:20:06.601215{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 10965, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:21:06.100960{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 11013, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:22:06.315683{'id': '34752329504', 'user_id': '60978448', 'user_name': 'dogdog', 'game_id': '513143', 'community_ids': [], 'type': 'live', 'title': 'New patch - learning stuff ', 'viewer_count': 10963, 'started_at': datetime.datetime(2019, 7, 2, 14, 54, 57), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
