2019-07-02T12:10:06.250971{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2286, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:11:06.329982{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2293, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:12:06.311805{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2294, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:13:06.256382{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2312, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:14:06.271915{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2314, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:15:06.253332{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2304, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:16:06.551408{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2329, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:17:06.096406{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2351, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:18:06.394693{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2352, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:19:05.992684{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2371, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-07-02T12:20:06.243061{'id': '34749560288', 'user_id': '21390470', 'user_name': 'singsing', 'game_id': '499132', 'community_ids': [], 'type': 'live', 'title': 'They are billions campaign 800% mode ', 'viewer_count': 2363, 'started_at': datetime.datetime(2019, 7, 2, 7, 29, 34), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_singsing-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
