2019-05-31T10:25:18.111539{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 769, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:26:18.129825{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 765, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:27:18.162600{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 759, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:28:18.105153{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 766, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:29:17.755441{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 770, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:30:18.128312{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 775, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:31:18.101401{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 779, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:32:18.118494{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 785, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:33:17.823975{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 778, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
2019-05-31T10:34:18.116599{'id': '34345201392', 'user_id': '75425569', 'user_name': 'edisonparklive', 'game_id': '506342', 'community_ids': ['36cb379b-f9f3-4390-a2fb-a7d3df91208b'], 'type': 'live', 'title': 'LET THE HITTING OF MAN COMMENCE', 'viewer_count': 780, 'started_at': datetime.datetime(2019, 5, 31, 7, 5, 48), 'language': 'en', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_edisonparklive-{width}x{height}.jpg', 'tag_ids': ['6ea6bca4-4712-4ab9-a906-e3336a9d8039']}
