2019-05-31T10:12:34.226357{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 54035, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:13:34.281610{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 54295, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:14:34.193434{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 53504, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:15:33.910726{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 52456, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:16:34.042609{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 52566, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:17:34.238598{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 52680, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:18:34.239098{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 52720, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:19:34.207969{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 52533, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:20:34.242796{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 47719, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:21:33.915756{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 44777, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:22:34.210852{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 43716, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:23:34.226229{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 42109, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:24:34.206735{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 41195, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
2019-05-31T10:25:34.056221{'id': '34346606192', 'user_id': '100814397', 'user_name': 'Dota2RuHub', 'game_id': '29595', 'community_ids': [], 'type': 'live', 'title': 'ESL One Birmingham 2019: Day 4 - Secret vs OG by Eiritel & NS', 'viewer_count': 40114, 'started_at': datetime.datetime(2019, 5, 31, 11, 3, 19), 'language': 'ru', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_dota2ruhub-{width}x{height}.jpg', 'tag_ids': ['0569b171-2a2b-476e-a596-5bdfb45a1327']}
